model,split,positive_rate,threshold_citations,pr_auc,f1,precision,recall,accuracy,roc_auc,decision_threshold,threshold_source,feature_set,blocks_added
xgboost_classifier,test,0.05903271692745377,41.0,0.2304316375382949,0.3053701015965167,0.26960533059969244,0.35207496653279785,0.9054449186028133,0.8196948090224899,0.7171421647071838,validation_year_2020_max_f1,base_plus_full_text_venue_identity,full_text_lsa+venue_identity
xgboost_classifier,train,0.1012109675590296,41.0,0.4950602702749866,0.42884910485933503,0.2880703683342496,0.8387354941976791,0.7738852213357094,0.8859039830784513,0.5,default_probability,base_plus_train_author_reference_history,train_history
xgboost_classifier,train,0.1012109675590296,41.0,0.4950602702749866,0.44711872251793566,0.5301866081229418,0.3865546218487395,0.9032440970394071,0.8859039830784513,0.736089825630188,validation_year_2020_max_f1,base_plus_train_author_reference_history,train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.2537236117106909,0.25857843137254904,0.15826582658265825,0.7061579651941098,0.7609451556819978,0.8184861446851203,0.5,default_probability,base_plus_train_author_reference_history,train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.2537236117106909,0.3262642740619902,0.31826861871419476,0.33467202141900937,0.9184052473526158,0.8184861446851203,0.736089825630188,validation_year_2020_max_f1,base_plus_train_author_reference_history,train_history
xgboost_classifier,train,0.1012109675590296,41.0,0.5168249338194977,0.4471374843292938,0.30255902728686557,0.8563425370148059,0.7856708922279373,0.8984269627101021,0.5,default_probability,base_plus_full_text_history,full_text_lsa+train_history
xgboost_classifier,train,0.1012109675590296,41.0,0.5168249338194977,0.4920323073564724,0.5413064361191162,0.45098039215686275,0.905755133449435,0.8984269627101021,0.7295963168144226,validation_year_2020_max_f1,base_plus_full_text_history,full_text_lsa+train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.2551162979473375,0.2636170714454138,0.15998855180309102,0.7483266398929049,0.7532005689900427,0.8276540416024277,0.5,default_probability,base_plus_full_text_history,full_text_lsa+train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.2551162979473375,0.3136294027565084,0.2891022021456804,0.3427041499330656,0.9114509246088194,0.8276540416024277,0.7295963168144226,validation_year_2020_max_f1,base_plus_full_text_history,full_text_lsa+train_history
xgboost_classifier,train,0.1012109675590296,41.0,0.506063677580378,0.44005379124857763,0.29673549107142855,0.851140456182473,0.780770321169657,0.894268080339562,0.5,default_probability,base_plus_full_text_affiliation_country_history,full_text_lsa+affiliation_country+train_history
xgboost_classifier,train,0.1012109675590296,41.0,0.506063677580378,0.48776298840704163,0.5261695229272811,0.4545818327330932,0.9033655988011826,0.894268080339562,0.7236812710762024,validation_year_2020_max_f1,base_plus_full_text_affiliation_country_history,full_text_lsa+affiliation_country+train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.2598620437898648,0.2628182564824592,0.1593398776497368,0.749665327978581,0.7517385806859491,0.8274188548938342,0.5,default_probability,base_plus_full_text_affiliation_country_history,full_text_lsa+affiliation_country+train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.2598620437898648,0.3258994944989593,0.29320492241840557,0.3668005354752343,0.910423581476213,0.8274188548938342,0.7236812710762024,validation_year_2020_max_f1,base_plus_full_text_affiliation_country_history,full_text_lsa+affiliation_country+train_history
xgboost_classifier,train,0.1012109675590296,41.0,0.5648573647746369,0.47570276748747004,0.3268453361281629,0.8735494197679071,0.8051111741120246,0.9152807662358382,0.5,default_probability,base_plus_full_text_venue_identity_history,full_text_lsa+venue_identity+train_history
xgboost_classifier,train,0.1012109675590296,41.0,0.5648573647746369,0.5333044982698962,0.5802352941176471,0.49339735894357745,0.912599732696124,0.9152807662358382,0.7338032126426697,validation_year_2020_max_f1,base_plus_full_text_venue_identity_history,full_text_lsa+venue_identity+train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.2611683313400347,0.2747724974721941,0.1693674041757557,0.7275769745649264,0.7732732732732732,0.8304271086192423,0.5,default_probability,base_plus_full_text_venue_identity_history,full_text_lsa+venue_identity+train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.2611683313400347,0.3184792770333437,0.2979591836734694,0.34203480589022756,0.9135846372688478,0.8304271086192423,0.7338032126426697,validation_year_2020_max_f1,base_plus_full_text_venue_identity_history,full_text_lsa+venue_identity+train_history
xgboost_classifier,train,0.1012109675590296,41.0,0.5752147259837433,0.4818880351262349,0.33202238693087277,0.8783513405362144,0.8088372281398081,0.9183150008381147,0.5,default_probability,base_plus_full_text_affiliation_venue_history,full_text_lsa+affiliation_country+venue_identity+train_history
xgboost_classifier,train,0.1012109675590296,41.0,0.5752147259837433,0.553532981013897,0.5417624521072797,0.5658263305322129,0.9076181604633268,0.9183150008381147,0.7021097540855408,validation_year_2020_max_f1,base_plus_full_text_affiliation_venue_history,full_text_lsa+affiliation_country+venue_identity+train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.26042243908932045,0.276177179845158,0.17039937353171497,0.7282463186077643,0.774656235182551,0.8320438046803829,0.5,default_probability,base_plus_full_text_affiliation_venue_history,full_text_lsa+affiliation_country+venue_identity+train_history
xgboost_classifier,test,0.05903271692745377,41.0,0.26042243908932045,0.33458646616541354,0.27937219730941704,0.4170013386880857,0.9020862968231389,0.8320438046803829,0.7021097540855408,validation_year_2020_max_f1,base_plus_full_text_affiliation_venue_history,full_text_lsa+affiliation_country+venue_identity+train_history
